#{"t_start": 1726061253.6615877, "env_id": "DRL_RBMSA-v4"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
902.9,1000,3.725207,0.018,0.03976331360946746
859.7,1000,6.951028,0.048,0.09981343283582089
848.0,1000,10.171338,0.054,0.105
862.7,1000,13.70078,0.047,0.10421232042853665
841.4,1000,17.266366,0.059,0.12114125350795135
839.2,1000,20.826868,0.06,0.12467896334345085
875.6,1000,25.205212,0.041,0.08980355472404115
852.8,1000,28.978015,0.052,0.11789874019491324
863.0,1000,33.010508,0.047,0.10677519751017477
885.5,1000,36.759566,0.035,0.08107454017424975
862.7,1000,40.43446,0.048,0.10250463821892393
880.3,1000,43.877569,0.04,0.08729781160799238
838.4,1000,47.392176,0.062,0.1305588585017836
842.6,1000,50.813024,0.058,0.11603125739995264
867.5,1000,54.327528,0.045,0.09780775716694773
820.7,1000,57.826251,0.07,0.14022988505747128
814.5,1000,61.329735,0.072,0.15227327399566995
859.4,1000,64.846512,0.048,0.11026147015293537
862.7,1000,68.647258,0.047,0.10421601136901942
876.2,1000,72.181754,0.04,0.09136570198517101
881.4,1000,75.679251,0.038,0.0824766355140187
872.1,1000,79.576851,0.043,0.09765085214187011
888.5,1000,82.878397,0.033,0.07477075005878203
873.6,1000,86.397115,0.042,0.09086606720302887
860.5,1000,90.112594,0.048,0.10382898754991778
853.9,1000,93.479788,0.053,0.1165940977261732
831.9,1000,97.010822,0.063,0.13418822990611404
833.4,1000,100.643791,0.062,0.12885411872986655
862.2,1000,104.029204,0.048,0.10293772032902468
845.0,1000,107.677661,0.057,0.12230552952202436
858.1,1000,111.320355,0.048,0.10460950561261047
882.2,1000,114.760359,0.038,0.08540264562543513
819.5,1000,118.446841,0.069,0.13353698450796422
843.2,1000,122.105625,0.059,0.11740139211136891
853.4,1000,125.368897,0.052,0.11274167249010017
859.7,1000,129.010048,0.047,0.10320713768989631
845.5,1000,132.836575,0.056,0.1268674993877051
830.9,1000,136.59935,0.064,0.1368199859911277
843.3,1000,140.261242,0.057,0.11522830504422663
872.2,1000,143.76178,0.041,0.08775757575757576
833.0,1000,147.520385,0.063,0.13242320819112627
842.8,1000,151.196493,0.058,0.11752187278316387
872.9,1000,154.698855,0.041,0.09203196899975781
880.6,1000,158.460806,0.036,0.08060692271218586
874.1,1000,162.143319,0.042,0.0890165111270639
848.7,1000,165.379872,0.056,0.12096029547553093
892.3,1000,168.963199,0.033,0.07315389924085576
880.0,1000,172.502879,0.037,0.08461921353907417
832.5,1000,176.078663,0.062,0.13575081357508137
855.7,1000,179.710712,0.051,0.11479028697571744
860.6,1000,183.161328,0.048,0.10032287822878229
837.0,1000,186.742732,0.061,0.14096704354101516
879.0,1000,190.646745,0.038,0.08402171347651641
827.1,1000,194.096933,0.066,0.1410286246218292
906.2,1000,197.645617,0.025,0.06175889328063241
857.5,1000,201.412745,0.048,0.10158584233509538
856.5,1000,204.880137,0.051,0.10585217999533691
892.6,1000,208.530672,0.033,0.07365578197888534
