#{"t_start": 1720712696.5932832, "env_id": "DRL_RBMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
958,1000,4.177631,0.021,0.04686390532544379
900,1000,6.409573,0.05,0.0986473880597015
898,1000,8.615239,0.051,0.10809523809523809
874,1000,10.814425,0.063,0.12929145361577793
896,1000,13.033439,0.052,0.10921421889616464
914,1000,15.230921,0.043,0.08475367732897501
880,1000,17.431883,0.06,0.1244153414405987
906,1000,19.661722,0.047,0.09507962918944617
892,1000,21.859417,0.054,0.11371797941106057
904,1000,24.054894,0.048,0.10358180058083252
908,1000,26.304032,0.046,0.09925788497217068
920,1000,28.517654,0.04,0.08943862987630828
922,1000,30.693087,0.039,0.08561236623067776
874,1000,32.867037,0.063,0.1321335543452522
904,1000,35.084064,0.048,0.11129848229342328
884,1000,37.274746,0.058,0.11793103448275861
884,1000,39.452789,0.058,0.12268462833774356
924,1000,41.655617,0.038,0.0833744449925999
922,1000,43.79153,0.039,0.07910942681193747
902,1000,45.959321,0.049,0.10069361396795025
894,1000,48.144059,0.053,0.10911214953271028
924,1000,50.311728,0.038,0.08337171810225702
908,1000,52.418618,0.046,0.10533740888784388
914,1000,54.55654,0.043,0.09275911026975864
890,1000,56.727345,0.055,0.1122856471693681
934,1000,58.876587,0.033,0.07692307692307693
898,1000,60.978771,0.051,0.10533547057476529
914,1000,63.101787,0.043,0.09341923607915324
894,1000,65.283226,0.053,0.11398354876615746
930,1000,67.416815,0.035,0.07872539831302718
948,1000,69.57909,0.026,0.054215428707905425
904,1000,71.776461,0.048,0.10582501740543049
876,1000,73.943023,0.062,0.12306349552694741
894,1000,76.106156,0.053,0.1111368909512761
902,1000,78.304435,0.049,0.10295830421616585
886,1000,80.495227,0.057,0.12442729684108994
878,1000,82.632659,0.061,0.12735733529267695
908,1000,84.815174,0.046,0.09642773756712585
906,1000,86.987496,0.047,0.10518766435572556
892,1000,89.144371,0.054,0.112
914,1000,91.389776,0.043,0.09237770193401593
880,1000,93.625554,0.06,0.13762118704185386
890,1000,95.805669,0.055,0.11431339307338338
936,1000,98.024883,0.032,0.07017543859649122
914,1000,100.204975,0.043,0.0906915530031108
882,1000,102.367371,0.059,0.12234533702677747
880,1000,104.563171,0.06,0.12629399585921325
942,1000,106.756881,0.029,0.0624688899950224
908,1000,108.951049,0.046,0.09716410971641097
922,1000,111.180853,0.039,0.08535688005886681
896,1000,113.466551,0.052,0.10816420664206643
888,1000,115.680607,0.056,0.11354342073610776
928,1000,117.879646,0.036,0.07930139249468963
898,1000,120.066455,0.051,0.11589481033279032
872,1000,122.25501,0.064,0.14624505928853754
900,1000,124.493675,0.05,0.10802114456446794
908,1000,126.663007,0.046,0.10165539752856144
918,1000,128.897925,0.041,0.09133316965381783
922,1000,131.154348,0.039,0.08552790529113312
894,1000,133.338061,0.053,0.11614401858304298
922,1000,135.509105,0.039,0.08741342249820874
876,1000,137.676812,0.062,0.12477231329690346
872,1000,139.815078,0.064,0.13738166705148927
892,1000,141.978232,0.054,0.10911602209944751
896,1000,144.171696,0.052,0.10933888118354138
888,1000,146.356009,0.056,0.12272055199605716
890,1000,148.494346,0.055,0.121127416724901
880,1000,150.63508,0.06,0.12550607287449392
910,1000,152.859026,0.045,0.10019083969465649
892,1000,155.075119,0.054,0.1134802179578299
912,1000,157.249466,0.044,0.09163619744058502
936,1000,159.508474,0.032,0.07641761985884643
920,1000,161.799365,0.04,0.0863275781614559
892,1000,164.046059,0.054,0.11872586872586872
896,1000,166.325607,0.052,0.11318967558607625
918,1000,169.143672,0.041,0.09062943681968764
870,1000,173.049715,0.065,0.14237935977066413
896,1000,176.663841,0.052,0.1102288650163475
904,1000,179.611751,0.048,0.10916179337231968
904,1000,182.358938,0.048,0.10171886037202732
920,1000,184.861997,0.04,0.08727450024378353
882,1000,187.69728,0.059,0.11611746245236494
896,1000,191.11723,0.052,0.1102855816113304
882,1000,193.784386,0.059,0.11888111888111888
900,1000,196.320726,0.05,0.10081541882876205
884,1000,198.863728,0.058,0.12308050255932992
908,1000,201.408298,0.046,0.10439300897496458
878,1000,203.977376,0.061,0.11742949607027277
906,1000,206.50925,0.047,0.09761904761904762
886,1000,209.011576,0.057,0.12079583135954523
882,1000,211.650285,0.059,0.1265046023129573
904,1000,215.452103,0.048,0.10283687943262411
912,1000,218.788901,0.044,0.09893491124260355
888,1000,221.431988,0.056,0.12041256896138162
886,1000,223.901767,0.057,0.11733021077283372
922,1000,226.387132,0.039,0.0876944837340877
922,1000,228.922694,0.039,0.08784773060029283
912,1000,231.42859,0.044,0.09628217349857007
878,1000,233.863728,0.061,0.12634964392373077
910,1000,236.425917,0.045,0.09803457257873549
888,1000,239.76632,0.056,0.11042382588774341
926,1000,242.301859,0.037,0.08185293456262649
906,1000,244.940516,0.047,0.10872675250357654
894,1000,247.681093,0.053,0.1118117875333495
916,1000,250.43889,0.042,0.09552454282964389
904,1000,253.258428,0.048,0.10436781609195403
880,1000,255.842897,0.06,0.12547957571654253
936,1000,258.538659,0.032,0.07169162779278174
918,1000,261.080681,0.041,0.08882655446470314
888,1000,263.626918,0.056,0.12518195050946143
894,1000,266.135567,0.053,0.11378659112370161
904,1000,268.660264,0.048,0.10399449035812672
928,1000,271.190088,0.036,0.08395657418576598
886,1000,273.846273,0.057,0.11582236108011605
914,1000,276.330954,0.043,0.09292452830188679
876,1000,278.846422,0.062,0.13577586206896552
862,1000,281.377074,0.069,0.1426648721399731
920,1000,283.950531,0.04,0.08798849196835291
904,1000,286.403589,0.048,0.10521371535932363
928,1000,288.845913,0.036,0.07395038167938932
920,1000,291.453635,0.04,0.08463572974272662
892,1000,294.630571,0.054,0.12045889101338432
930,1000,298.520378,0.035,0.07861104412828551
870,1000,301.232324,0.065,0.14289038864323947
890,1000,303.872736,0.055,0.11625307399955287
928,1000,306.548721,0.036,0.0780209324452902
898,1000,309.013426,0.051,0.1085111264051388
926,1000,311.516232,0.037,0.07645483321158997
890,1000,314.025771,0.055,0.11446510504709008
908,1000,316.467439,0.046,0.09973627427475426
936,1000,319.050065,0.032,0.07158196134574088
936,1000,321.553973,0.032,0.07094918504314478
876,1000,323.993725,0.062,0.1318656377666818
914,1000,326.48948,0.043,0.09532888465204957
922,1000,328.926485,0.039,0.08805319880761293
926,1000,331.417129,0.037,0.08419038507534082
884,1000,333.803108,0.058,0.12601343525596478
918,1000,336.249598,0.041,0.08632075471698113
900,1000,338.671,0.05,0.10256410256410256
920,1000,341.097113,0.04,0.08559265068339682
908,1000,343.520301,0.046,0.10178615121115733
924,1000,345.918389,0.038,0.0786595299045846
936,1000,348.374135,0.032,0.06408209806157354
912,1000,350.906471,0.044,0.10100526567735758
908,1000,353.322047,0.046,0.09465111160026414
940,1000,355.703395,0.03,0.06508013598834386
916,1000,358.164484,0.042,0.08389715832205684
928,1000,360.65179,0.036,0.08450704225352113
914,1000,363.026994,0.043,0.0923285811269518
936,1000,365.462392,0.032,0.07101683191145954
916,1000,367.903694,0.042,0.08426581411281114
928,1000,370.345676,0.036,0.07628524046434494
956,1000,372.82789,0.022,0.04484967964514539
948,1000,375.202777,0.026,0.05599051008303677
922,1000,377.715855,0.039,0.09039268955297604
934,1000,380.251131,0.033,0.06903304773561811
948,1000,382.745883,0.026,0.05370067709549381
936,1000,385.184057,0.032,0.07010895310279489
912,1000,387.694256,0.044,0.09716209716209716
940,1000,390.203477,0.03,0.06324900133155792
960,1000,392.741065,0.02,0.04517852805440855
962,1000,396.0133,0.019,0.04447776111944028
926,1000,399.759335,0.037,0.07109448082319925
932,1000,403.456942,0.034,0.07608695652173914
950,1000,407.035227,0.025,0.04953703703703704
960,1000,410.337577,0.02,0.04452865940312648
946,1000,413.458158,0.027,0.05844618674269423
928,1000,416.379221,0.036,0.07803534542116135
944,1000,419.161748,0.028,0.05537229029217719
946,1000,421.834095,0.027,0.058399423215573176
962,1000,424.50205,0.019,0.043991664737207684
946,1000,427.089781,0.027,0.059469787437305945
968,1000,429.56741,0.016,0.038113387327298714
928,1000,431.988093,0.036,0.07219375873311598
960,1000,434.359442,0.02,0.042453930487520414
914,1000,436.74068,0.043,0.08387245841035121
